,IST,Pressure,Extrenal_temp,Internal_temp,Humidity,Volatge,GMT,Latitude,n/s,Longitude,e/w,No. of Satellites,Altitude
0,16:27:34,989.9,16.54,18.4,55.2,8.5,_,_,_,_,_,5,267.4
1,16:27:34,989.8,16.68,18.4,55.1,8.5,_,_,_,_,_,5,267.4
2,16:27:36,989.9,16.54,18.4,55.2,8.5,10:57:34,28.803999,n,77.211166,e,4,269.5
3,16:27:36,989.9,16.61,18.4,55.4,8.5,10:57:35,28.803999,n,77.211166,e,4,269.5
4,16:27:37,989.9,16.68,18.4,55.6,8.5,_,_,_,_,_,4,269.5
5,16:27:38,989.9,16.61,18.4,55.6,8.5,_,_,_,_,_,4,269.5
6,16:27:39,989.8,16.61,18.4,55.7,8.5,_,_,_,_,_,4,269.5
7,16:27:40,989.9,16.59,18.5,55.7,8.5,10:57:38,28.803999,n,77.211166,e,6,271.2
8,16:27:40,989.9,16.68,18.5,55.9,8.5,_,_,_,_,_,6,271.2
9,16:27:41,989.9,16.59,18.4,55.9,8.5,10:57:39,28.803999,n,77.211166,e,6,271.2
10,16:27:42,990.0,16.61,18.4,55.8,8.5,_,_,_,_,_,6,271.2
11,16:27:43,989.9,16.59,18.4,55.6,8.5,_,_,_,_,_,6,271.2
12,16:27:43,989.9,16.66,18.4,55.8,8.5,10:57:42,28.803999,n,77.211166,e,5,270.6
13,16:27:44,989.8,16.59,18.4,55.8,8.5,10:57:43,28.803999,n,77.211166,e,5,270.6
14,16:27:45,989.8,16.68,18.4,55.8,8.5,_,_,_,_,_,5,270.6
15,16:27:46,989.8,16.61,18.4,55.7,8.5,_,_,_,_,_,5,270.6
16,16:27:47,989.8,16.66,18.4,55.6,8.5,_,_,_,_,_,5,270.6
17,16:27:48,989.9,16.59,18.5,55.6,8.5,10:57:46,28.803999,n,77.211166,e,5,268.2
18,16:27:48,990.0,16.66,18.5,55.6,8.5,_,_,_,_,_,5,268.2
19,16:27:49,989.9,16.66,18.5,55.6,8.5,_,_,_,_,_,5,268.2
20,16:27:50,989.9,16.66,18.5,55.6,8.5,_,_,_,_,_,5,268.2
21,16:27:51,989.9,16.73,18.5,55.5,8.5,_,_,_,_,_,5,268.2
22,16:27:51,989.8,16.66,18.5,55.7,8.5,_,_,_,_,_,5,268.2
23,16:27:53,989.9,16.66,18.5,55.5,8.5,_,_,_,_,_,5,268.2
24,16:27:54,989.9,16.73,18.5,55.4,8.5,_,_,_,_,_,5,268.2
25,16:27:55,989.8,16.66,18.5,55.5,8.5,_,_,_,_,_,5,268.2
26,16:27:55,989.9,16.66,18.5,55.5,8.5,_,_,_,_,_,5,268.2
27,16:27:56,989.9,16.66,18.5,55.4,8.5,_,_,_,_,_,5,268.2
28,16:27:57,989.9,16.66,18.5,55.3,8.5,_,_,_,_,_,5,268.2
29,16:27:58,989.8,16.73,18.5,55.3,8.5,_,_,_,_,_,5,268.2
30,16:27:59,989.9,16.73,18.5,55.4,8.5,10:57:57,28.804167,n,77.211334,e,5,268.2
31,16:27:59,989.9,16.73,18.5,55.4,8.5,_,_,_,_,_,5,268.2
32,16:28:01,989.9,16.66,18.5,55.5,8.5,_,_,_,_,_,5,268.2
33,16:28:02,989.9,16.73,18.5,55.7,8.5,_,_,_,_,_,5,268.2
34,16:28:02,989.8,16.73,18.5,55.7,8.5,_,_,_,_,_,5,268.2
35,16:28:02,990.0,16.73,18.5,55.8,8.5,10:58:01,28.803999,n,77.211166,e,5,268.2
36,16:28:05,989.9,16.73,18.5,55.8,8.5,_,_,_,_,_,5,268.2
37,16:28:05,989.9,16.73,18.5,55.8,8.5,_,_,_,_,_,5,268.2
38,16:28:05,990.0,16.73,18.5,55.8,0.0,10:58:04,28.803999,n,77.211166,e,7,268.0
39,16:28:06,989.8,16.73,18.5,55.9,8.5,_,_,_,_,_,7,268.0
40,16:28:07,989.9,16.73,18.5,55.7,8.5,10:58:05,28.803999,n,77.211166,e,7,268.0
41,16:28:08,989.8,16.73,18.5,55.6,8.5,_,_,_,_,_,7,268.0
42,16:28:09,989.8,16.8,18.5,55.7,8.5,_,_,_,_,_,7,268.0
43,16:28:10,989.8,16.73,18.5,55.7,8.5,10:58:08,28.803999,n,77.211166,e,7,264.9
44,16:28:10,989.8,16.73,18.5,55.6,8.5,10:58:09,28.803999,n,77.211166,e,7,264.9
45,16:28:11,989.9,16.73,18.5,55.7,0.0,_,_,_,_,_,7,264.9
46,16:28:12,989.9,16.73,18.5,55.8,8.5,_,_,_,_,_,7,264.9
47,16:28:13,989.9,16.73,18.5,55.6,8.5,_,_,_,_,_,7,264.9
48,16:28:14,989.9,16.73,18.5,55.7,8.5,10:58:12,28.803999,n,77.211166,e,7,263.8
49,16:28:14,990.0,16.8,18.5,55.6,8.5,10:58:13,28.803999,n,77.211166,e,7,263.8
50,16:28:15,989.8,16.8,18.5,55.8,8.5,_,_,_,_,_,7,263.8
51,16:28:16,989.8,16.73,18.5,55.8,8.5,_,_,_,_,_,7,263.8
52,16:28:17,989.9,16.73,18.5,55.7,8.5,_,_,_,_,_,7,263.8
53,16:28:17,989.8,16.8,18.5,55.7,8.5,10:58:16,28.803999,n,77.211166,e,5,263.9
54,16:28:18,989.9,16.8,18.5,55.7,8.5,10:58:17,28.803999,n,77.211166,e,5,263.9
55,16:28:19,989.9,16.8,18.5,55.9,8.5,_,_,_,_,_,5,263.9
56,16:28:19,989.9,16.73,18.5,55.6,8.5,_,_,_,_,_,5,263.9
57,16:28:21,989.9,16.8,18.5,55.7,8.5,_,_,_,_,_,5,263.9
58,16:28:22,989.9,16.8,18.5,55.6,8.5,10:58:20,28.803999,n,77.211166,e,6,263.9
59,16:28:22,989.9,16.8,18.5,55.6,8.5,10:58:21,28.803999,n,77.211166,e,6,263.9
60,16:28:23,989.9,16.73,18.5,55.8,8.4,_,_,_,_,_,6,263.9
61,16:28:24,989.8,16.8,18.5,55.7,8.4,_,_,_,_,_,6,263.9
62,16:28:25,989.9,16.87,18.5,55.6,8.4,_,_,_,_,_,6,263.9
63,16:28:26,989.9,16.8,18.5,55.6,8.4,10:58:24,28.803999,n,77.211166,e,6,264.2
64,16:28:26,990.0,16.8,18.5,55.6,8.4,10:58:25,28.803999,n,77.211166,e,6,264.2
65,16:28:27,989.9,16.87,18.5,55.7,8.5,_,_,_,_,_,6,264.2
66,16:28:28,989.9,16.8,18.5,55.6,8.4,_,_,_,_,_,6,264.2
67,16:28:29,989.9,16.87,18.5,55.7,8.4,_,_,_,_,_,6,264.2
68,16:28:30,989.8,16.87,18.5,55.7,8.4,10:58:28,28.803999,n,77.211166,e,6,266.9
69,16:28:30,989.8,16.87,18.6,55.6,8.4,10:58:29,28.803999,n,77.211166,e,6,266.9
70,16:28:31,989.9,16.85,18.5,55.5,8.4,_,_,_,_,_,6,266.9
71,16:28:32,989.8,16.87,18.5,55.5,8.4,_,_,_,_,_,6,266.9
72,16:28:33,989.8,16.8,18.5,55.5,8.4,_,_,_,_,_,6,266.9
73,16:28:34,989.8,16.8,18.5,55.6,8.4,10:58:32,28.803999,n,77.211166,e,5,267.5
74,16:28:34,989.9,16.73,18.5,55.5,8.4,10:58:33,28.803999,n,77.211166,e,5,267.5
75,16:28:35,989.9,16.87,18.6,55.5,8.4,_,_,_,_,_,5,267.5
76,16:28:36,989.8,16.73,18.5,55.5,8.4,_,_,_,_,_,5,267.5
77,16:28:37,989.8,16.85,18.5,55.4,8.4,_,_,_,_,_,5,267.5
78,16:28:38,989.8,16.78,18.5,55.3,8.4,10:58:36,28.803999,n,77.211166,e,6,267.1
79,16:28:38,989.8,16.8,18.6,55.4,8.4,_,_,_,_,_,6,267.1
80,16:28:39,989.9,16.8,18.6,55.5,8.4,10:58:37,28.803999,_,_,e,6,_
